Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 10, AI1: 3, AI2: 1
Status:Wygrałeś Gracz: 43, AI1: 12, AI2: 22
Status:Wygrałeś Gracz: 10, AI1: 2, AI2: 1
Status:Przegrałeś Gracz: 63, AI1: 13, AI2: 13
Status:Wygrałeś Gracz: 12, AI1: 15, AI2: 7
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 1
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 2
Status:Wygrałeś Gracz: 0, AI1: 0, AI2: 0
Status:Wygrałeś Gracz: 11, AI1: 5, AI2: 3
Status:Wygrałeś Gracz: 13, AI1: 5, AI2: 2
Status:Przegrałeś Gracz: 16, AI1: 3, AI2: 13
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 0
Status:Przegrałeś Gracz: 0, AI1: 1, AI2: 0
Status:Przegrałeś Gracz: 10, AI1: 0, AI2: 1
Status:Przegrałeś Gracz: 1, AI1: 1, AI2: 1
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 1, AI1: 1, AI2: 2
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:Przegrałeś Gracz: 10, AI1: 2, AI2: 1
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
Status:WygrałeśGracz: 0, AI1: 0, AI2: 0
